69,0,68
89,2,88
148,1,147
170,4,169
338,5,337
361,3,360
390,9,389
395,6,394
402,4,31
524,1,125
583,7,20
607,0,37
618,4,15
632,8,18
812,7,28
882,4,22
906,8,23
913,1,138
1037,7,24
1109,2,19
1130,4,22
1167,0,59
1176,8,19
1260,7,22
1283,1,119
1348,4,17
1431,6,35
1451,8,24
1480,7,19
1493,5,154
1559,4,10
1715,0,47
1765,1,148
1784,4,22
1899,7,17
1989,8,23
1995,4,10
2131,7,31
2136,1,120
2148,2,38
2206,4,10
2257,8,17
2269,0,53
2353,7,21
2470,1,83
2489,9,98
2502,4,95
2527,3,165
2534,6,102
2548,8,40
2722,4,19
2808,1,87
2867,0,97
2935,4,12
3228,4,92
3241,2,92
3375,1,148
3421,0,53
3436,7,29
3449,4,20
3471,8,14
3578,6,43
3712,5,125
3802,1,176
3819,7,182
3836,4,186
3961,0,39
4037,7,17
4059,4,22
4168,1,115
4190,8,78
4262,7,24
4276,2,34
4294,4,34
4525,1,106
4540,8,99
4574,0,112
4592,7,129
4637,4,142
4842,3,314
4966,5,253
5221,0,69
5272,7,28
5285,4,40
5303,2,26
5503,7,30
5517,4,31
5625,1,174
5665,6,44
5724,8,22
5742,7,38
5777,4,47
5837,0,115
5950,1,74
5970,7,27
6095,5,128
6119,8,144
6137,4,159
6186,7,15
6277,1,76
6318,2,14
6405,0,67
6416,4,78
6435,8,65
6639,1,111
6659,4,42
6682,9,61
6713,6,47
7033,3,190
7051,4,191
7132,1,242
7180,0,274
7201,8,205
7345,5,249
7359,4,107
7377,2,58
7402,7,20
7534,1,151
7546,8,94
7571,4,11
7620,7,17
7721,0,40
7794,4,22
7915,1,130
7934,8,137
7957,7,136
8013,4,18
8173,7,15
8316,1,150
8333,8,148
8351,4,137
8411,0,189
8536,5,190
8561,7,187
8572,2,194
8594,4,42
8717,1,150
8739,8,155
8755,9,72
8793,7,31
8829,6,49
8881,4,57
8957,0,45
9079,1,111
9292,3,258
9428,1,98
9442,8,87
9510,0,52
9521,4,27
9670,5,133
9698,7,160
9718,2,145
9848,1,169
9864,8,171
9883,4,161
10054,0,43
10094,4,10
10187,1,88
10204,8,89
10232,7,91
10311,4,16
10451,7,18
10554,1,116
10566,8,111
10579,4,67
10635,0,80
10675,7,23
10808,5,137
10823,2,104
10842,9,86
10858,4,78
10990,1,185
11067,6,125
11089,4,30
11188,0,52
11235,7,19
11315,1,74
11332,8,66
11350,4,60
11616,3,323
11657,4,106
11784,1,218
11797,8,214
11865,0,176
12046,2,222
12057,4,199
12338,1,171
12375,6,307
12400,7,166
12417,4,159
12516,0,121
12718,1,129
12733,8,143
12754,7,153
12775,4,157
12976,7,21
13077,1,108
13093,4,117
13166,0,149
13178,2,131
13228,7,34
13313,4,19
13423,1,95
13445,8,76
13477,6,101
13496,7,67
13525,4,11
13757,3,140
13916,0,160
14095,8,18
14138,7,20
14238,5,119
14256,4,128
14362,1,186
14382,2,203
14406,7,67
14422,8,76
14456,0,39
14472,4,15
14522,6,44
14625,7,18
14712,1,99
14725,4,52
14745,8,72
14844,7,18
14890,9,19
14947,4,21
15055,0,69
15076,7,31
15136,1,173
15164,4,16
15353,5,114
