ts_micro,frame,wheel
1646428251290,1,0.0
1646428251365,2,0.0
1646428251390,3,0.0
1646428251440,4,0.0
1646428251490,5,0.0
1646428251540,6,0.0
1646428251590,7,0.0
1646428251640,8,0.0
1646428251690,9,0.0
1646428251740,10,0.0
1646428251790,11,0.0
1646428251840,12,0.0
1646428251890,13,0.0
1646428251940,14,0.0
1646428251990,15,0.0
1646428252040,16,0.0
1646428252090,17,0.0
1646428252140,18,0.0
1646428252190,19,0.0
1646428252240,20,0.0
1646428252290,21,0.0
1646428252340,22,0.0
1646428252390,23,0.0
1646428252440,24,0.0
1646428252490,25,0.0
1646428252540,26,0.0
1646428252590,27,0.0
1646428252640,28,0.0
1646428252690,29,0.0
1646428252740,30,0.0
1646428252790,31,0.0
1646428252840,32,0.0
1646428252890,33,0.0
1646428252940,34,0.0
1646428252990,35,0.0
1646428253040,36,0.0
1646428253090,37,0.0
1646428253140,38,0.0
1646428253190,39,0.0
1646428253240,40,0.0
1646428253290,41,0.0
1646428253340,42,0.0
1646428253390,43,0.0
1646428253440,44,0.0
1646428253490,45,0.0
1646428253540,46,0.0
1646428253590,47,0.0
1646428253640,48,0.0
1646428253690,49,0.0
1646428253740,50,0.0
1646428253790,51,0.0
1646428253840,52,0.0
1646428253890,53,0.0
1646428253940,54,0.0
1646428253990,55,0.0
1646428254040,56,0.0
1646428254090,57,0.0
1646428254140,58,0.0
1646428254190,59,0.0
1646428254240,60,0.0
1646428254290,61,0.0
1646428254340,62,0.0
1646428254390,63,0.0
1646428254440,64,0.0
1646428254490,65,0.0
1646428254540,66,0.0
1646428254590,67,0.0
1646428254640,68,0.0
1646428254690,69,0.0
1646428254740,70,0.0
1646428254790,71,0.0
1646428254840,72,0.0
1646428254890,73,0.0
1646428254940,74,0.0
1646428254990,75,0.0
1646428255040,76,-0.5235987755982988
1646428255090,77,-0.5235987755982988
1646428255140,78,-0.5235987755982988
1646428255190,79,-0.5235987755982988
1646428255240,80,0.0
1646428255290,81,0.0
1646428255340,82,0.0
1646428255390,83,0.0
1646428255440,84,0.0
1646428255490,85,0.0
1646428255540,86,0.0
1646428255590,87,0.0
1646428255640,88,0.0
1646428255690,89,0.0
1646428255740,90,0.0
1646428255790,91,0.0
1646428255840,92,-0.5235987755982988
1646428255890,93,-0.5235987755982988
1646428255940,94,-0.5235987755982988
1646428255990,95,-0.5235987755982988
1646428256040,96,-0.5235987755982988
1646428256090,97,0.0
1646428256140,98,0.0
1646428256190,99,0.0
1646428256240,100,0.0
1646428256290,101,0.0
1646428256340,102,0.0
1646428256390,103,0.0
1646428256440,104,0.0
1646428256490,105,0.0
1646428256540,106,0.0
1646428256590,107,0.0
1646428256640,108,0.0
1646428256690,109,0.0
1646428256740,110,0.0
1646428256790,111,0.0
1646428256840,112,0.0
1646428256890,113,0.0
1646428256940,114,0.0
1646428256990,115,0.0
1646428257040,116,0.0
1646428257090,117,0.0
1646428257140,118,0.0
1646428257190,119,0.0
1646428257240,120,0.0
1646428257290,121,0.0
1646428257340,122,0.0
1646428257390,123,0.0
1646428257440,124,0.0
1646428257490,125,0.0
1646428257540,126,0.0
1646428257590,127,0.0
1646428257640,128,0.0
1646428257690,129,0.0
1646428257740,130,0.0
1646428257790,131,0.0
1646428257840,132,0.0
1646428257890,133,0.0
1646428257940,134,0.0
1646428257991,135,0.0
1646428258040,136,0.0
1646428258090,137,0.0
1646428258141,138,0.0
1646428258191,139,0.0
1646428258241,140,0.0
1646428258291,141,0.0
1646428258341,142,0.0
1646428258391,143,0.0
1646428258440,144,0.0
1646428258491,145,0.0
1646428258540,146,0.0
1646428258591,147,0.0
1646428258641,148,0.0
1646428258691,149,0.0
1646428258741,150,-0.5235987755982988
1646428258791,151,-0.5235987755982988
1646428258841,152,-0.5235987755982988
1646428258891,153,-0.5235987755982988
1646428258941,154,-0.5235987755982988
1646428258991,155,0.0
1646428259040,156,0.0
1646428259090,157,0.0
1646428259140,158,0.0
1646428259190,159,0.0
1646428259240,160,0.0
1646428259290,161,0.0
1646428259340,162,0.0
1646428259390,163,-0.5235987755982988
1646428259440,164,-0.5235987755982988
1646428259490,165,-0.5235987755982988
1646428259540,166,0.0
1646428259590,167,0.0
1646428259640,168,0.0
1646428259690,169,0.0
1646428259740,170,0.0
1646428259790,171,0.0
1646428259840,172,0.0
1646428259890,173,0.0
1646428259940,174,-0.5235987755982988
1646428259990,175,-0.5235987755982988
1646428260040,176,0.0
1646428260090,177,0.0
1646428260140,178,0.0
1646428260190,179,0.0
1646428260240,180,0.0
1646428260290,181,-0.5235987755982988
1646428260340,182,-0.5235987755982988
1646428260390,183,-0.5235987755982988
1646428260440,184,-0.5235987755982988
1646428260490,185,-0.5235987755982988
1646428260540,186,-0.5235987755982988
1646428260590,187,-0.5235987755982988
1646428260640,188,0.0
1646428260690,189,0.0
1646428260740,190,-0.5235987755982988
1646428260790,191,-0.5235987755982988
1646428260840,192,-0.5235987755982988
1646428260890,193,-0.5235987755982988
1646428260940,194,-0.5235987755982988
1646428260990,195,-0.5235987755982988
1646428261040,196,-0.5235987755982988
1646428261090,197,-0.5235987755982988
1646428261140,198,0.0
1646428261190,199,0.0
1646428261240,200,0.0
1646428261290,201,0.0
1646428261340,202,0.0
1646428261390,203,0.0
1646428261440,204,0.0
1646428261490,205,0.0
1646428261540,206,0.0
1646428261590,207,0.0
1646428261640,208,0.0
1646428261690,209,0.0
1646428261740,210,0.0
1646428261790,211,0.0
1646428261840,212,0.0
1646428261890,213,0.0
1646428261940,214,0.0
1646428261990,215,0.0
1646428262040,216,0.5235987755982988
1646428262090,217,0.5235987755982988
1646428262140,218,0.5235987755982988
1646428262190,219,0.0
1646428262240,220,0.0
1646428262290,221,0.0
1646428262340,222,0.0
1646428262390,223,0.0
1646428262440,224,0.0
1646428262490,225,0.0
1646428262540,226,0.0
1646428262590,227,0.0
1646428262640,228,0.0
1646428262690,229,0.0
1646428262740,230,0.0
1646428262790,231,0.0
1646428262840,232,0.0
1646428262890,233,0.0
1646428262940,234,0.0
1646428262990,235,0.0
1646428263040,236,-0.5235987755982988
1646428263090,237,-0.5235987755982988
1646428263140,238,0.0
1646428263190,239,0.0
1646428263240,240,0.0
1646428263290,241,0.0
1646428263340,242,0.0
1646428263390,243,0.0
1646428263440,244,0.0
1646428263490,245,0.0
1646428263540,246,0.0
1646428263590,247,0.0
1646428263640,248,0.0
1646428263690,249,0.0
1646428263740,250,0.0
1646428263790,251,0.0
1646428263840,252,0.0
1646428263890,253,0.0
1646428263940,254,0.0
1646428263990,255,0.0
1646428264040,256,0.0
1646428264090,257,0.0
1646428264140,258,0.0
1646428264190,259,0.0
1646428264240,260,0.0
1646428264290,261,0.0
1646428264340,262,0.0
1646428264390,263,0.0
1646428264440,264,0.0
1646428264490,265,0.0
1646428264540,266,0.0
1646428264590,267,0.0
1646428264640,268,0.0
1646428264690,269,0.0
1646428264740,270,0.0
1646428264790,271,0.0
1646428264840,272,0.0
1646428264890,273,0.0
1646428264940,274,0.0
1646428264990,275,0.0
1646428265040,276,0.0
1646428265090,277,0.0
1646428265140,278,0.0
1646428265190,279,0.0
1646428265240,280,0.0
1646428265290,281,0.0
1646428265340,282,0.0
1646428265390,283,0.0
1646428265440,284,0.0
1646428265490,285,-0.5235987755982988
1646428265540,286,-0.5235987755982988
1646428265590,287,0.0
1646428265640,288,0.0
1646428265690,289,0.0
1646428265740,290,0.0
1646428265790,291,0.0
1646428265840,292,0.0
1646428265890,293,0.0
1646428265940,294,0.0
1646428265990,295,0.0
1646428266040,296,0.5235987755982988
1646428266090,297,0.5235987755982988
1646428266140,298,0.5235987755982988
1646428266190,299,0.5235987755982988
1646428266240,300,0.0
1646428266290,301,0.0
1646428266340,302,0.0
1646428266390,303,0.0
1646428266440,304,0.0
1646428266490,305,0.0
1646428266540,306,0.0
1646428266590,307,0.0
1646428266640,308,-0.5235987755982988
1646428266690,309,-0.5235987755982988
1646428266740,310,-0.5235987755982988
1646428266790,311,0.0
1646428266840,312,0.0
1646428266890,313,0.0
1646428266940,314,0.0
1646428266990,315,0.0
1646428267040,316,0.0
1646428267090,317,0.0
1646428267140,318,0.0
1646428267190,319,0.0
1646428267240,320,0.0
1646428267290,321,0.0
1646428267340,322,0.0
1646428267390,323,0.0
1646428267440,324,0.0
1646428267490,325,0.0
1646428267540,326,0.0
1646428267590,327,0.0
1646428267640,328,0.0
1646428267690,329,0.0
1646428267740,330,0.0
1646428267790,331,0.0
1646428267840,332,0.0
1646428267890,333,0.0
1646428267940,334,0.0
1646428267990,335,0.0
1646428268040,336,0.0
1646428268090,337,-0.5235987755982988
1646428268140,338,-0.5235987755982988
1646428268190,339,-0.5235987755982988
1646428268240,340,-0.5235987755982988
1646428268290,341,-0.5235987755982988
1646428268340,342,-0.5235987755982988
1646428268390,343,0.0
1646428268440,344,0.0
1646428268490,345,0.0
1646428268540,346,0.0
1646428268590,347,0.0
1646428268640,348,0.0
1646428268690,349,0.0
1646428268740,350,0.0
1646428268790,351,0.0
1646428268840,352,0.0
1646428268890,353,0.0
1646428268940,354,0.0
1646428268990,355,0.0
1646428269040,356,0.0
1646428269090,357,0.0
1646428269140,358,0.0
1646428269190,359,0.0
1646428269240,360,0.0
1646428269290,361,-0.5235987755982988
1646428269340,362,-0.5235987755982988
1646428269390,363,-0.5235987755982988
1646428269440,364,-0.5235987755982988
1646428269490,365,-0.5235987755982988
1646428269540,366,-0.5235987755982988
1646428269590,367,-0.5235987755982988
1646428269640,368,-0.5235987755982988
1646428269690,369,-0.5235987755982988
1646428269740,370,-0.5235987755982988
1646428269790,371,-0.5235987755982988
1646428269841,372,-0.5235987755982988
1646428269891,373,-0.5235987755982988
1646428269940,374,0.0
1646428269991,375,0.0
1646428270041,376,0.0
1646428270090,377,0.0
1646428270140,378,0.0
1646428270190,379,0.0
1646428270240,380,0.0
1646428270290,381,0.0
1646428270340,382,0.0
1646428270390,383,0.0
1646428270441,384,0.0
1646428270490,385,0.0
1646428270540,386,0.0
1646428270590,387,0.0
1646428270640,388,0.0
1646428270690,389,0.0
1646428270740,390,0.0
1646428270790,391,0.0
1646428270840,392,0.0
1646428270890,393,0.0
1646428270940,394,0.0
1646428270990,395,0.0
1646428271040,396,0.0
1646428271090,397,0.0
1646428271140,398,0.0
1646428271191,399,0.0
1646428271240,400,0.0
1646428271291,401,0.0
1646428271340,402,0.0
1646428271391,403,0.0
1646428271440,404,0.0
1646428271490,405,0.0
1646428271540,406,0.0
1646428271591,407,0.0
1646428271640,408,0.0
1646428271690,409,0.0
1646428271740,410,0.0
1646428271791,411,0.0
1646428271840,412,0.0
1646428271891,413,0.0
1646428271940,414,0.0
1646428271991,415,0.0
1646428272040,416,0.0
1646428272090,417,0.0
1646428272140,418,0.0
1646428272190,419,0.0
1646428272240,420,0.0
1646428272290,421,0.0
1646428272340,422,0.0
1646428272390,423,-0.5235987755982988
1646428272440,424,-0.5235987755982988
1646428272490,425,-0.5235987755982988
1646428272540,426,-0.5235987755982988
1646428272590,427,-0.5235987755982988
1646428272640,428,-0.5235987755982988
1646428272690,429,0.0
1646428272740,430,0.0
1646428272790,431,0.0
1646428272840,432,0.0
1646428272890,433,0.0
1646428272940,434,0.0
1646428272990,435,0.0
1646428273040,436,0.0
1646428273090,437,0.0
1646428273140,438,0.0
1646428273190,439,0.0
1646428273240,440,0.0
1646428273290,441,-0.5235987755982988
1646428273340,442,-0.5235987755982988
1646428273390,443,0.0
1646428273440,444,0.0
1646428273490,445,0.0
1646428273540,446,0.0
1646428273590,447,0.0
1646428273640,448,0.0
1646428273691,449,0.0
1646428273741,450,-0.5235987755982988
1646428273790,451,-0.5235987755982988
1646428273840,452,0.0
1646428273890,453,0.0
1646428273940,454,0.0
1646428273990,455,0.0
1646428274041,456,0.0
1646428274090,457,0.0
1646428274140,458,0.0
1646428274190,459,0.0
1646428274240,460,0.0
1646428274291,461,0.0
1646428274341,462,0.0
1646428274390,463,0.0
1646428274441,464,0.0
1646428274490,465,0.0
1646428274540,466,0.0
1646428274591,467,0.0
1646428274640,468,0.0
1646428274691,469,0.0
1646428274740,470,0.0
1646428274791,471,0.0
1646428274840,472,0.0
1646428274891,473,0.0
1646428274941,474,0.0
1646428274991,475,0.0
1646428275040,476,0.0
1646428275090,477,0.0
1646428275140,478,0.0
1646428275191,479,0.0
1646428275240,480,0.0
1646428275291,481,0.0
1646428275340,482,0.0
1646428275390,483,0.0
1646428275440,484,0.0
1646428275491,485,0.0
1646428275540,486,0.0
1646428275590,487,0.0
1646428275641,488,0.0
1646428275691,489,0.0
1646428275740,490,0.0
1646428275791,491,0.0
1646428275840,492,0.0
1646428275891,493,0.0
1646428275940,494,0.0
1646428275991,495,0.0
1646428276040,496,0.0
1646428276090,497,0.0
1646428276140,498,0.0
1646428276191,499,0.0
1646428276240,500,0.0
1646428276291,501,0.0
1646428276340,502,0.0
1646428276391,503,0.0
1646428276440,504,0.0
1646428276491,505,0.0
1646428276540,506,0.0
1646428276591,507,0.0
1646428276640,508,0.0
1646428276691,509,0.0
1646428276741,510,0.0
1646428276791,511,0.0
1646428276841,512,0.0
1646428276891,513,0.0
1646428276940,514,0.0
1646428276991,515,0.0
1646428277040,516,0.0
1646428277090,517,0.0
1646428277140,518,0.0
1646428277190,519,0.0
1646428277240,520,0.0
1646428277290,521,0.5235987755982988
1646428277340,522,0.0
1646428277390,523,0.0
1646428277440,524,0.0
1646428277490,525,0.0
1646428277540,526,0.0
1646428277590,527,0.0
1646428277640,528,0.0
1646428277690,529,0.0
1646428277740,530,0.0
1646428277790,531,0.0
1646428277840,532,0.0
1646428277890,533,0.0
1646428277940,534,0.0
1646428277990,535,-0.5235987755982988
1646428278040,536,-0.5235987755982988
1646428278090,537,-0.5235987755982988
1646428278140,538,-0.5235987755982988
1646428278190,539,-0.5235987755982988
1646428278241,540,-0.5235987755982988
1646428278290,541,-0.5235987755982988
1646428278341,542,-0.5235987755982988
